;Country_ID;city;EWP;coorX;coordY;Continent_Name;Country_Name
1439;USA;MN Park;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Park.Rapids.Muni.AP.727453_TMY3/USA_MN_Park.Rapids.Muni.AP.727453_TMY3.epw;-95.07;46.9;North America;United States of America
1440;USA;MN Litchfield;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Litchfield.Muni.AP.726583_TMY3/USA_MN_Litchfield.Muni.AP.726583_TMY3.epw;-94.5;45.1;North America;United States of America
1441;USA;MN Fosston;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Fosston.AWOS.727505_TMY3/USA_MN_Fosston.AWOS.727505_TMY3.epw;-95.77;47.58;North America;United States of America
1442;USA;MN Rochester;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Rochester.726440_TMY2/USA_MN_Rochester.726440_TMY2.epw;-92.5;43.92;North America;United States of America
1443;USA;NM Albuquerque;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NM/USA_NM_Albuquerque.Intl.AP.723650_TMY3/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw;-106.62;35.04;North America;United States of America
1444;USA;NM Albuquerque;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NM/USA_NM_Albuquerque.723650_TMY2/USA_NM_Albuquerque.723650_TMY2.epw;-106.62;35.05;North America;United States of America
1445;USA;NM Clovis-Cannon;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NM/USA_NM_Clovis-Cannon.AFB.722686_TMY3/USA_NM_Clovis-Cannon.AFB.722686_TMY3.epw;-103.32;34.38;North America;United States of America
1446;USA;NM Las;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NM/USA_NM_Las.Cruces.Intl.AP.722695_TMY3/USA_NM_Las.Cruces.Intl.AP.722695_TMY3.epw;-106.92;32.28;North America;United States of America
1447;USA;NM Truth;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NM/USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY3/USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY3.epw;-107.27;33.23;North America;United States of America
1448;USA;NM Los;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NM/USA_NM_Los.Alamos.723654_TMY2/USA_NM_Los.Alamos.723654_TMY2.epw;-106.28;35.88;North America;United States of America
